URL       DescriptioPrompt    GT        gpt4o response
https://nvIn the LinAnalyze thCWE-416   CWE-416
https://nvIBM OpenPaAnalyze thCWE-257   CWE-287
https://nvImproper NAnalyze thCWE-79    CWE-79
https://nvOut-of-bouAnalyze thCWE-787   CWE-787
https://nvThe EssentAnalyze thCWE-79    CWE-79
https://nvA vulnerabAnalyze thCWE-79    CWE-79
https://nvThere is aAnalyze thCWE-269   CWE-273
https://nvServer-SidAnalyze thCWE-918   CWE-918
https://nvStatamic iAnalyze thCWE-79    CWE-79
https://nvAn informaAnalyze thCWE-116   CWE-200
https://nvA vulnerabAnalyze thCWE-79    CWE-79
https://nvEDK2 is suAnalyze thCWE-119   CWE-122
https://nvIn vsp driAnalyze thCWE-416   CWE-416
https://nvNginx-UI iAnalyze thCWE-77    CWE-77
https://nvAn origin Analyze thCWE-346   CWE-274
https://nvExposure oAnalyze thCWE-532   CWE-200
https://nvA vulnerabAnalyze thCWE-434   CWE-434
https://nvA vulnerabAnalyze thCWE-89    CWE-89
https://nvjshERP v3.Analyze thCWE-434   CWE-434
https://nvThe Order Analyze thCWE-79    CWE-79
https://nvVersions oAnalyze thCWE-77    CWE-78
https://nvA vulnerabAnalyze thCWE-89    CWE-89
https://nvflaskBlog Analyze thCWE-79    CWE-79
https://nvA vulnerabAnalyze thCWE-404   CWE-20
https://nvA vulnerabAnalyze thCWE-89    CWE-89
https://nvThe POST SAnalyze thCWE-79    CWE-79
https://nv: RelativeAnalyze thCWE-22    CWE-22
https://nvBuildKit iAnalyze thCWE-22    CWE-20
https://nvA vulnerabAnalyze thCWE-89    CWE-89
https://nvA vulnerabAnalyze thCWE-434   CWE-434
https://nvUrsa is a Analyze thCWE-829   CWE-327
https://nvQualys JenAnalyze thCWE-611   CWE-285
https://nvThe PiotneAnalyze thCWE-434   CWE-434
https://nvExposure oAnalyze thCWE-200   CWE-200
https://nvIn the LinAnalyze thCWE-476   CWE-476
https://nvswftools 0Analyze thCWE-787   CWE-124
https://nvIn the LinAnalyze thCWE-908   CWE-457
https://nvThe BetterAnalyze thCWE-79    CWE-79
https://nvcurl inadvAnalyze thCWE-295   CWE-295
https://nvIn the LinAnalyze thCWE-754   CWE-20
https://nvDirectory Analyze thCWE-22    CWE-22
https://nvIn mp3 decAnalyze thCWE-787   CWE-787
https://nvIn the LinAnalyze thCWE-476   CWE-476
https://nvA vulnerabAnalyze thCWE-89    CWE-89
https://nvA vulnerabAnalyze thCWE-434   CWE-434
https://nvD-Link Go-Analyze thCWE-787   CWE-121
https://nvIBM OperatAnalyze thCWE-74    CWE-94
https://nvA vulnerabAnalyze thCWE-284   CWE-284
https://nvAn OS CommAnalyze thCWE-78    CWE-78
https://nvMicronaut Analyze thCWE-610   CWE-284
https://nvA vulnerabAnalyze thCWE-120   CWE-120
https://nvA vulnerabAnalyze thCWE-404   CWE-400
https://nvXWiki PlatAnalyze thCWE-400   CWE-400
https://nvMemory corAnalyze thCWE-416   CWE-125
https://nvHyperledgeAnalyze thCWE-347   CWE-552
https://nvDell BIOS Analyze thCWE-681   CWE-
https://nvA vulnerabAnalyze thCWE-79    CWE-79
https://nvThe vulnerAnalyze thCWE-79    CWE-79
https://nvA stack baAnalyze thCWE-120   CWE-121
https://nvA vulnerabAnalyze thCWE-79    CWE-79
https://nvReflected Analyze thCWE-79    CWE-79
https://nvIn EngineeAnalyze thCWE-787   CWE-787
https://nvA vulnerabAnalyze thCWE-79    CWE-79
https://nvIn the LinAnalyze thCWE-416   CWE-416
https://nvIn video dAnalyze thCWE-125   CWE-125
https://nvA race conAnalyze thCWE-362   CWE-362
https://nvThe WP VR Analyze thCWE-79    CWE-284
https://nvAvo is a fAnalyze thCWE-79    CWE-79
https://nvA vulnerabAnalyze thCWE-89    CWE-89
https://nvLlamaIndexAnalyze thCWE-89    CWE-89
https://nvA vulnerabAnalyze thCWE-787   CWE-121
https://nvIn Apache Analyze thCWE-522   CWE-200
https://nvAn unautheAnalyze thCWE-79    CWE-79
https://nvIn the LinAnalyze thCWE-476   CWE-476
https://nvA vulnerabAnalyze thCWE-22    CWE-22
https://nvMolecularFAnalyze thCWE-79    CWE-79
https://nvA vulnerabAnalyze thCWE-79    CWE-79
https://nvA stored cAnalyze thCWE-79    CWE-79
https://nvDell PowerAnalyze thCWE-306   CWE-306
https://nvThe Debug Analyze thCWE-862   CWE-directory-listing
https://nvVyper is aAnalyze thCWE-327   CWE-682
https://nvIn Spring Analyze thCWE-732   CWE-377
https://nvExposure oAnalyze thCWE-209   CWE-532
https://nvA use-afteAnalyze thCWE-416   CWE-416
https://nvBlind SQL Analyze thCWE-89    CWE-89
https://nvThe WP ComAnalyze thCWE-22    CWE-22
https://nvA vulnerabAnalyze thCWE-404   CWE-20
https://nvA stored cAnalyze thCWE-79    CWE-79
https://nvThe WordPrAnalyze thCWE-79    CWE-79
https://nvAn integerAnalyze thCWE-190   CWE-190
https://nvThe MachinAnalyze thCWE-306   CWE-287
https://nvAn unsafe Analyze thCWE-470   CWE-502
https://nvThe POPS! Analyze thCWE-319   CWE-311
https://nvA stack baAnalyze thCWE-120   CWE-121
https://nvCross SiteAnalyze thCWE-79    CWE-79
https://nvThere is aAnalyze thCWE-863   CWE-125
https://nvA vulnerabAnalyze thCWE-89    CWE-89
https://nvThe Lana SAnalyze thCWE-79    CWE-79
https://nvAn ExposurAnalyze thCWE-668   CWE-284
https://nvA vulnerabAnalyze thCWE-78    CWE-78
https://nvAuthenticaAnalyze thCWE-290   CWE-288
https://nvAn issue iAnalyze thCWE-77    CWE-94
https://nvA flaw wasAnalyze thCWE-476   CWE-134
https://nvA buffer oAnalyze thCWE-120   CWE-120
https://nvA vulnerabAnalyze thCWE-404   CWE-400
https://nvA vulnerabAnalyze thCWE-434   CWE-434
